location,state,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,
GBUAPCD EBAM @ Lee V,California,US,pm25,5.0,2017-11-21 22:00:00+00:00,µg/m³,AirNow,37.956905,-119.12093,1.0,
Ponca City,Oklahoma,US,so2,0.0,2019-01-17 15:00:00+00:00,ppm,AirNow,36.69719,-97.081276,1.0,
Ponca City,Oklahoma,US,pm10,19.0,2019-04-01 20:00:00+00:00,µg/m³,AirNow,36.69719,-97.081276,1.0,
Ponca City,Oklahoma,US,pm25,10.4,2019-04-01 20:00:00+00:00,µg/m³,AirNow,36.69719,-97.081276,1.0,
Blackstone,North Carolina,US,o3,0.01,2018-08-07 10:00:00+00:00,ppm,AirNow,35.4325,-79.2887,1.0,
Blackstone,North Carolina,US,no2,0.001,2018-08-09 11:00:00+00:00,ppm,AirNow,35.4325,-79.2887,1.0,
Blackstone,North Carolina,US,pm25,6.0,2018-08-07 12:00:00+00:00,µg/m³,AirNow,35.4325,-79.2887,1.0,
Blackstone,North Carolina,US,so2,-0.001,2018-08-09 11:00:00+00:00,ppm,AirNow,35.4325,-79.2887,1.0,
Havre,Montana,US,pm25,7.0,2018-11-08 18:00:00+00:00,µg/m³,AirNow,48.551018,-109.67748,1.0,
Lincoln,Montana,US,pm25,1.0,2017-10-13 18:00:00+00:00,µg/m³,AirNow,46.955997,-112.655396,1.0,
Lincoln,Montana,US,o3,0.032,2019-04-01 19:00:00+00:00,ppm,AirNow,46.955997,-112.655396,1.0,
Cut Bank,Montana,US,pm25,5.0,2018-10-16 14:00:00+00:00,µg/m³,AirNow,48.607407,-112.36384,1.0,
MMMT10001,Montana,US,pm25,32.0,2017-08-27 20:00:00+00:00,µg/m³,AirNow,45.206448,-112.64252,1.0,
MMMT10002,Montana,US,pm25,38.0,2017-08-28 13:00:00+00:00,µg/m³,AirNow,47.347397,-113.58979,1.0,
Clearwater,Montana,US,pm25,7.0,2017-10-05 13:00:00+00:00,µg/m³,AirNow,46.99881,-113.38484,1.0,
White Sulphur Spring,Montana,US,pm25,-2.0,2017-10-13 07:00:00+00:00,µg/m³,AirNow,46.502903,-110.90627,1.0,
Nespelem,Washington,US,pm25,-0.6,2019-03-28 14:00:00+00:00,µg/m³,AirNow,48.1671,-118.97475,1.0,
Catawba Indian Natio,South Carolina,US,o3,0.052,2019-04-01 19:00:00+00:00,ppm,AirNow,34.91263,-80.87428,1.0,
