location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,
Location where data was measured,City containing location,Country containing measurement in 2 letter ISO code,Name of the Pollutant being measured. Allowed values: PM25| PM10| SO2| NO2| O3| CO| BC,Latest measured value for the pollutant,The datetime at which the pollutant was measured| in ISO 8601 format,The unit the value was measured in coded by UCUM Code,Name of the source of the data,Latitude in decimal degrees. Precision >3 decimal points.,Longitude in decimal degrees. Precision >3 decimal points.,The number of hours the value was averaged over.,
Pahala,Hilo,US,pm25,5.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.2065,-155.4689,1.0,
Ocean View,Hilo,US,pm25,6.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.117561,-155.77814,1.0,
Ocean View,Hilo,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,19.117561,-155.77814,1.0,
Mountain View,Hilo,US,pm25,0.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.5698,-155.0806,1.0,
Mountain View,Hilo,US,so2,0.0,2018-06-21 23:00:00+00:00,ppm,AirNow,19.5698,-155.0806,1.0,
Puna E Station,Hilo,US,so2,0.002,2017-01-26 17:00:00+00:00,ppm,AirNow,19.4583,-154.8833,1.0,
Hawaii Volcanoes NP,Hilo,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,19.4308,-155.2578,1.0,
Keeler,INYO,US,pm10,2.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.4878,-117.871,1.0,
Keeler,INYO,US,pm25,-0.3,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.4878,-117.871,1.0,
Lone Pine,INYO,US,pm10,4.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.609,-118.0578,1.0,
Mill Site,INYO,US,pm10,3.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.4581,-117.8519,1.0,
Shell Cut,INYO,US,pm10,3.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.3663,-117.8976,1.0,
North Beach,INYO,US,pm10,1.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.5428,-117.9912,1.0,
